User 830,??,?+918xxxxx606,04/09/17, 6:32 PM 
User 569,*??LOOT @ 199 SHOES*  http://amzn.to/2oeITxC  MORE SHOES FROM 199 http://amzn.to/2oP1a6r,?+917xxxxx071,04/09/17, 6:43 PM 
User 317,Hahaaaha,?+918xxxxx096,04/09/17, 6:44 PM 
User 317,_*Bags loot*_????  Starting at just *299* rs only *upto _70% off_*  _Free delivery with prime_   http://amzn.to/2oe0DI5,?+918xxxxx096,04/09/17, 6:56 PM 
User 404,*??Lightning deal*  15 Watt Pack of 2  *At Rs 179 Only*  http://amzn.to/2oeRb8Y  *Hurry up!!????*,?+919xxxxx556,04/09/17, 7:13 PM 
User 385,http://inr.deals/uZsqX  MEN CASUAL SHOE AT 200   LOOT ????????,?+918xxxxx700,04/09/17, 7:41 PM 
User 359,Guyes carding me koi partner banega kya .....bes invest kr na padega koi invest kr sake to a jao  ......  uske leye me  ek iphone 7 kr  dunga ..,?+917xxxxx166,04/09/17, 8:00 PM 
User 826,Bhaag yaha se ,?+919xxxxx446,04/09/17, 8:02 PM 
User 283,?? *LOWEST DEAL ALERT*  ?? *50% and above discount on branded watch*  ?? http://fkrt.it/cFvND!NNNN  *? JOIN MY BROADCAST BY SENDING JOIN TO 9807065142 ??*,?+919xxxxx514,04/09/17, 8:10 PM 
User 165,Kaha hai tu bhai,?+917xxxxx017,04/09/17, 8:14 PM 
User 165,Hi ,?+917xxxxx017,04/09/17, 8:14 PM 
User 569,*??LOOT @ 299 SPORTS SHOES*  http://amzn.to/2nR6lhc  *MORE SHOES FROM RS 244 MASTER LINK* http://amzn.to/2nXOaav,?+917xxxxx071,04/09/17, 8:52 PM 
User 569,??Lee Cooper Men's Leather Sneakers??  Shoe Loot?????? *1374only*  http://amzn.to/2omtoEw,?+917xxxxx071,04/09/17, 8:57 PM 
User 569,*Men canvas sneakers  At just Rs 195*  Market price rs *~499~* http://amzn.to/2phzzqB,?+917xxxxx071,04/09/17, 9:14 PM 
User 569,"?? *LOWEST DEAL ALERTS* ??  ?? *Branded Trousers Up to 70% Off Under Rs. 499* ?? @?499 [MRP ?1499] ?? http://amzn.to/2oOZWIh  ?? *Auserio Men’s Loafers and Moccasins STARTING @ RS.299* ?? @?299 [MRP ?499] ?? http://amzn.to/2oesKGR  ?? *Lipton Honey Lemon Green Tea Bags, 25 Pieces* ?? @?105 [MRP ?140] ?? http://amzn.to/2nR5blG ",?+917xxxxx071,04/09/17, 9:15 PM 
User 689,"??15 WATT PACK OF 2 JUST RS 179  MRP:340/-  http://amzn.to/2oSNXZM ........................................ ? *Join Our Broadcast By Type ""Send Deals"" On This Contact 8218889004* ? *Then You Will Get All Latest Deals And Offers On Your WhatsApp*",?+918xxxxx900,04/09/17, 9:32 PM 
User 283,"?? *LOWEST DEAL ALERTS* ??  ?? *Branded Trousers Up to 70% Off Under Rs. 499* ?? @?499 [MRP ?1499] ?? http://bit.ly/2numbTs  ?? *Auserio Men’s Loafers and Moccasins STARTING @ RS.299* ?? @?299 [MRP ?499] ?? http://bit.ly/2oOYJ3B  ?? *Lipton Honey Lemon Green Tea Bags, 25 Pieces* ?? @?105 [MRP ?140] ?? http://bit.ly/2phwWFj  *? JOIN MY ?BROADCAST? BY SENDING JOIN TO 9807065142 ??*",?+919xxxxx514,04/09/17, 9:36 PM 
User 569,"?? *LOWEST DEAL ALERTS* ??  ?? *Branded Trousers Up to 70% Off Under Rs. 499* ?? @?499 [MRP ?1499] ?? http://amzn.to/2oOZWIh  ?? *Auserio Men’s Loafers and Moccasins STARTING @ RS.299* ?? @?299 [MRP ?499] ?? http://amzn.to/2oesKGR  ?? *Lipton Honey Lemon Green Tea Bags, 25 Pieces* ?? @?105 [MRP ?140] ?? http://amzn.to/2nR5blG",?+917xxxxx071,04/09/17, 9:46 PM 
User 569,"??Maggi Rich Tomato Ketchup, 500g *JUST RS 78* . http://amzn.to/2oP3k5X .",?+917xxxxx071,04/09/17, 10:14 PM 
User 569,"?? Steal Deal : *AXE Signature Mysterious Body Perfume, 122ml* At Rs. 169/- only.  Link ?? http://amzn.to/2ociSxA MRP - Rs. 250/-  ?? Steal Deal : *Free Runner Men's Cotton Shorts* Starting At Rs.219/- only. Link ?? http://amzn.to/2nPGDJM  ?? Steal Deal : *Posterboy Mugs - starting At Rs.99/- only* Link ?? http://zngy.in/2eA  ?? Amazon Deal Of The Day : *Tommy Hilfiger Branded Backpacks* At Flat 50% Off. Link ?? http://amzn.to/2ocltYk *Scroll Down To See Offer",?+917xxxxx071,04/09/17, 10:20 PM 
User 569,?? Best Price : *Branded Baby Clothings From Rs.98 At Flipkart* ??   http://zngy.in/2ir,?+917xxxxx071,04/09/17, 10:22 PM 
User 569,"??Princeware SF Package Container Set, 18-Pieces, Blue??  *Deal Price 292*  http://amzn.to/2omEBom",?+917xxxxx071,04/09/17, 10:23 PM 
User 569,"??Emami Fair and Handsome Fairness Cream 60g with Instant Fairness Face Wash, 100g??  *Offer Price-195*  http://amzn.to/2phOMbd",?+917xxxxx071,04/09/17, 10:30 PM 
User 689,https://chat.whatsapp.com/2oBsdWhiwH015dDgs3d3Ia,?+918xxxxx900,04/09/17, 10:58 PM 
User 569,??Good Deal :- *Branded United Colours of Benetton Shirts & T-Shirts & Jeans at Upto 70% Off Price Start from Rs.569*  *NEW STOCK ADDED*  *Shirts* starting @629 http://amzn.to/2ofkxE8  *T-shirts* starting @269 http://amzn.to/2oPePu6  *Jeans* starting @979 http://amzn.to/2nRdCNZ,?+917xxxxx071,04/09/17, 11:03 PM 
User 112,??Good Deal :- *Branded United Colours of Benetton Shirts & T-Shirts & Jeans at Upto 70% Off Price Start from Rs.569*  *NEW STOCK ADDED*  *Shirts* starting @629 http://amzn.to/2mwExBM  *T-shirts* starting @269 http://amzn.to/2om0iFa  *Jeans* starting @979 http://amzn.to/2n05zSO  ????SanDdy Deal,?+917xxxxx038,04/09/17, 11:05 PM 
User 569,http://amzn.to/2oflwUI @40% off. *Only ?27* ,?+917xxxxx071,04/09/17, 11:28 PM 
User 689,"Jashvi creation Women's Poly Cotton Salwar Suit Dress Material  Price:   999.00Sale:   199.00 http://amzn.to/2ofwUjx ? *Join Our Broadcast By Type ""Send Deals"" On This Contact 8218889004* ? *Then You Will Get All Latest Deals And Offers On Your WhatsApp* ",?+918xxxxx900,04/09/17, 11:36 PM 
User 569,"?? *Himalaya Herbals Baby Powder (400 gm)* ?? *@?108* [MRP ?160] ? http://amzn.to/2ofmVKY  ?? *Himalaya Herbals Extra Moisturizing Baby Soap, 75g* ?? *@?27* [MRP ?140] ? http://amzn.to/2oflwUI  ?? *Himalaya Herbals Baby Lotion (400ml)* ?? *@?135* [MRP ?260] ? http://amzn.to/2oT2YLm  *MASTER LINK - ?* http://amzn.to/2oeYv2N",?+917xxxxx071,04/09/17, 11:39 PM 
User 689,"psy Club Analogue Multicolour Dial Couple Combo Unisex Watch - GCM16 Price:   1,199.00 Sale:   399.0 http://amzn.to/2ofrll7  ? *Join Our Broadcast By Type ""Send Deals"" On This Contact 8218889004* ? *Then You Will Get All Latest Deals And Offers On Your WhatsApp*",?+918xxxxx900,04/09/17, 11:56 PM 
User 569,*Tommy Hilfiger Red Casual Backpack 50% Off*  . http://amzn.to/2ofjrYS *OTHER ONE* ---  http://amzn.to/2oPq31N .,?+917xxxxx071,04/09/17, 11:58 PM 
User 569,*Odonil Room Spray - 200 g (Lavender Mist)*  *with Room Spray - 200 g (Rose Garden)*  *DEAL PRICE ? 160*  *~MRP ? 280~*  http://amzn.to/2oPts0E,?+917xxxxx071,04/09/17, 11:59 PM 
User 569,Flipkart – Buy Pepe Jeans Derwino Backpack (Blue) at Rs.648 only  http://zngy.in/2iS,?+917xxxxx071,04/10/17, 12:18 AM 
